label,channel_k,min,max,mean,sum
"Case 4 (WS, big tile)",11,-128.920441,259.293579,0.161817,2651.204590
"Case 4 (WS, big tile)",12,-125.934837,256.955505,0.397761,6516.922852
"Case 4 (WS, big tile)",13,-133.251694,261.218506,0.257478,4218.521484
"Case 4 (WS, big tile)",14,-133.505463,255.337570,-0.578862,-9484.070312
"Case 4 (WS, big tile)",15,-136.598450,260.630066,0.023102,378.508972
"Case 4 (WS, big tile)",16,-137.727570,267.245209,0.377633,6187.144531
"Case 4 (WS, big tile)",17,-137.651917,263.555573,0.474350,7771.752930
"Case 4 (WS, big tile)",18,-128.693054,266.131165,0.223526,3662.252686
"Case 4 (WS, big tile)",19,-126.989655,257.718109,0.472528,7741.902344
"Case 4 (WS, big tile)",20,-133.505554,268.734894,0.149220,2444.824463
"Case 4 (WS, big tile)",21,-133.054535,254.079147,0.212638,3483.860352
"Case 4 (WS, big tile)",22,-135.500580,265.191528,-0.107701,-1764.574829
"Case 4 (WS, big tile)",23,-134.076523,266.285248,0.482563,7906.319336
"Case 4 (WS, big tile)",24,-133.994385,262.567200,0.580661,9513.556641
"Case 4 (WS, big tile)",25,-130.069107,260.650238,0.208974,3423.829102
"Case 4 (WS, big tile)",26,-128.533630,265.365112,0.234469,3841.538574
"Case 4 (WS, big tile)",27,-137.051910,267.974854,0.154050,2523.952637
"Case 4 (WS, big tile)",28,-136.339157,256.586609,-0.296233,-4853.475586
"Case 4 (WS, big tile)",29,-134.967590,263.534271,-0.204704,-3353.871582
"Case 4 (WS, big tile)",30,-130.773972,260.376465,0.406051,6652.742676
"Case 4 (WS, big tile)",31,-133.832504,254.462631,0.300559,4924.359375
"Case 4 (WS, big tile)",32,-132.720490,265.235291,0.241088,3949.988281
"Case 4 (WS, big tile)",33,-133.354813,268.857605,0.276113,4523.840820
"Case 4 (WS, big tile)",34,-138.715073,266.296387,0.152585,2499.951416
"Case 4 (WS, big tile)",35,-135.139664,258.720398,-0.282075,-4621.523438
"Case 4 (WS, big tile)",36,-136.539276,264.143005,-0.170702,-2796.776611
"Case 4 (WS, big tile)",37,-125.981621,257.464478,0.239123,3917.792969
"Case 4 (WS, big tile)",38,-131.047302,262.294617,0.421842,6911.463379
"Case 4 (WS, big tile)",39,-134.826965,270.228088,0.461479,7560.875977
"Case 4 (WS, big tile)",40,-134.494873,279.912079,0.291630,4778.066895
"Case 4 (WS, big tile)",41,-133.086929,260.247284,0.265138,4344.020508
"Case 4 (WS, big tile)",42,-133.730774,254.976837,0.302270,4952.385742
"Case 4 (WS, big tile)",43,-132.685074,254.439026,-0.127193,-2083.924561
"Case 4 (WS, big tile)",44,-125.919952,251.787369,0.367090,6014.400879
"Case 4 (WS, big tile)",45,-133.310715,262.721893,0.429469,7036.421875
"Case 4 (WS, big tile)",46,-135.961761,266.312225,0.362980,5947.056152
"Case 4 (WS, big tile)",47,-134.966141,273.703094,0.317197,5196.948242
"Case 4 (WS, big tile)",48,-137.051910,259.129028,0.107011,1753.262451
"Case 4 (WS, big tile)",49,-141.706619,257.060394,-0.240197,-3935.388916
"Case 4 (WS, big tile)",50,-128.410461,250.852890,-0.176433,-2890.676514
"Case 4 (WS, big tile)",51,-126.653084,254.744598,0.224789,3682.944336
"Case 4 (WS, big tile)",52,-135.190323,268.135498,0.482443,7904.353516
"Case 4 (WS, big tile)",53,-132.749298,270.112030,0.083729,1371.820312
"Case 4 (WS, big tile)",54,-134.076843,269.720490,0.323833,5305.676758
"Case 4 (WS, big tile)",55,-135.987396,263.243530,0.225385,3692.715332
"Case 4 (WS, big tile)",56,-134.497559,259.383118,-0.301748,-4943.840820
"Case 4 (WS, big tile)",57,-128.991287,253.963745,-0.081626,-1337.359009
"Case 4 (WS, big tile)",58,-130.653473,256.018463,0.117902,1931.714355
"Case 4 (WS, big tile)",59,-139.651764,269.856415,0.471366,7722.859375
"Case 4 (WS, big tile)",60,-137.651917,265.899689,0.356190,5835.820312
"Case 4 (WS, big tile)",61,-134.494873,275.486389,0.271414,4446.846680
"Case 4 (WS, big tile)",62,-129.151932,258.853577,0.345232,5656.273926
"Case 4 (WS, big tile)",63,-132.926483,264.409607,0.301020,4931.918457
"Case 5 (OS, big tile)",0,-130.865555,251.642609,-0.033456,-548.143433
"Case 5 (OS, big tile)",1,-139.394165,262.702698,0.244436,4004.833252
"Case 5 (OS, big tile)",2,-136.396790,274.064575,0.423230,6934.207520
"Case 5 (OS, big tile)",3,-136.728500,265.420227,0.428735,7024.393555
"Case 5 (OS, big tile)",4,-132.757034,271.143402,0.186533,3056.155029
